Country_Name,Country_Code,Country_code,Region,Sub_Region,Population,Agriculture,Industry,Services,Deathrate,Birthrate,Employmentrate,Unemploymentrate,Employmentcount,Unemploymentcount,Population_Rank,Year
Jamaica,JAM,388,Americas,Latin America and the Caribbean,2817210,570400.5014,448443.494,1798394.134,6.862,17.794,58.18000031,41.81999969,1639052.787,1178157.213,4,2010
Jordan,JOR,400,Asia,Western Asia,7182390,267472.202,1894499.068,5020418.935,3.867,28.975,36.62900162,63.37099838,2630837.749,4551552.251,4,2010
Japan,JPN,392,Asia,Eastern Asia,128070000,5239343.803,32896061.26,89934595.55,9.5,8.5,57.03099823,42.96900177,73039599.43,55030400.57,2,2010
Kazakhstan,KAZ,398,Asia,Central Asia,16321872,4616315.212,3054801.499,8650918.418,8.97,22.54,66.27200317,33.72799683,10816831.53,5505040.47,3,2010
Kenya,KEN,404,Africa,Sub-Saharan Africa,41350152,16173284.52,6326159.666,18850707.81,7.273,35.091,57.96099854,42.03900146,23966961,17383191,3,2010
Kyrgyzstan,KGZ,417,Asia,Central Asia,5447900,1629139.979,1240050.951,2578708.966,6.6,26.8,58.54499817,41.45500183,3189472.955,2258427.045,4,2010
Cambodia,KHM,116,Asia,South-eastern Asia,14308740,7751187.751,2325027.241,4232525.281,6.512,25.503,85.09400177,14.90599823,12175879.47,2132860.531,3,2010
"Korea, Rep.",KOR,410,Asia,Eastern Asia,49554112,3257687.264,12362759.84,33933663.24,5.1,9.4,58.50299835,41.49700165,28990641.33,20563470.67,3,2010
Kuwait,KWT,414,Asia,Western Asia,2998083,94229.74532,769997.6738,2133825.509,2.545,19.616,68.73999786,31.26000214,2060882.19,937200.8098,4,2010
Lao PDR,LAO,418,Asia,South-eastern Asia,6246274,4463649.772,519565.0613,1263059.107,7.366,26.715,77.49900055,22.50099945,4840799.922,1405474.078,4,2010
Lebanon,LBN,422,Asia,Western Asia,4337141,106737.0385,832687.6748,3397716.101,4.6,13.535,42.80699921,57.19300079,1856599.913,2480541.087,4,2010
Liberia,LBR,430,Africa,Sub-Saharan Africa,3948125,1867700.003,425844.7724,1654580.262,9.348,37.167,55.12799835,44.87200165,2176522.285,1771602.715,4,2010
Libya,LBY,434,Africa,Northern Africa,6169140,451395.9684,1951854.201,3765889.743,4.909,21.434,43.78300095,56.21699905,2701034.625,3468105.375,4,2010
Saint Lucia,LCA,662,Americas,Latin America and the Caribbean,172580,25219.11526,31715.028,115647.5865,6.896,13.028,53.09899902,46.90100098,91638.25251,80941.74749,5,2010
Sri Lanka,LKA,144,Asia,Southern Asia,20198353,6786646.3,5027369.938,8384335.991,6.489,17.513,52.02000046,47.97999954,10507183.32,9691169.677,3,2010
Lesotho,LSO,426,Africa,Sub-Saharan Africa,2040551,262639.3251,802099.7597,975811.8763,14.383,28.528,50.1629982,49.8370018,1023601.561,1016949.439,4,2010
Lithuania,LTU,440,Europe,Northern Europe,3097282,273489.9982,760692.4427,2063099.559,13.6,9.9,46.81800079,53.18199921,1450085.511,1647196.489,4,2010
Luxembourg,LUX,442,Europe,Western Europe,506953,5591.691817,67657.94595,433703.3737,7.4,11.6,54.49700165,45.50299835,276274.1848,230678.8152,5,2010
Latvia,LVA,428,Europe,Northern Europe,2097555,180683.3944,483989.8282,1432860.733,14.3,9.4,47.49399948,52.50600052,996212.7608,1101342.239,4,2010
Macao,MAC,446,Asia,Eastern Asia,536969,1181.331794,73747.32357,462045.6997,3.676,9.858,68.79699707,31.20300293,369418.5472,167550.4528,5,2010
Morocco,MAR,504,Africa,Northern Africa,32409639,13041639.28,7117804.883,12250195.46,5.308,21.289,45.3370018,54.6629982,14693558.62,17716080.38,3,2010
Moldova,MDA,498,Europe,Eastern Europe,3562045,980310.4012,664428.2495,1917270.748,11.786,11.058,38.87200165,61.12799835,1384638.191,2177406.809,4,2010
Madagascar,MDG,450,Africa,Sub-Saharan Africa,21151640,15644175.55,1166936.021,4340528.025,7.374,35.204,85.63200378,14.36799622,18112573.17,3039066.835,3,2010
Maldives,MDV,462,Asia,Southern Asia,364511,54833.39054,58748.23998,250929.3591,3.395,19.816,63.04299927,36.95700073,229798.6671,134712.3329,5,2010
Mexico,MEX,484,Americas,Latin America and the Caribbean,117318941,16258058.61,28306714.39,72754168,4.676,19.992,58.09899902,41.90100098,68161130.39,49157810.61,2,2010
"Macedonia, FYR",MKD,807,Europe,Southern Europe,2070739,400066.7685,612855.9283,1057816.303,9.522,11.09,37.81600189,62.18399811,783070.6994,1287668.301,4,2010
Mali,MLI,466,Africa,Sub-Saharan Africa,15075085,8661088.452,1670017.927,4743978.478,12.481,46.359,59.7140007,40.2859993,9001936.363,6073148.637,3,2010
Malta,MLT,470,Europe,Southern Europe,414508,5541.972011,105770.0072,303196.0371,7.3,9.4,46.65800095,53.34199905,193401.1466,221106.8534,5,2010
Myanmar,MMR,104,Asia,South-eastern Asia,50155896,30400992.72,7515359.56,12239543.24,8.276,19.855,66.84799957,33.15200043,33528213.14,16627682.86,3,2010
Montenegro,MNE,499,Europe,Southern Europe,619428,38293.03995,117678.9264,463456.0277,10.04,12.565,39.70100021,60.29899979,245919.1116,373508.8884,5,2010
Mongolia,MNG,496,Asia,Eastern Asia,2712650,909470.1771,440425.8557,1362753.967,6.57,24.609,55.15000153,44.84999847,1496026.516,1216623.484,4,2010
Mozambique,MOZ,508,Africa,Sub-Saharan Africa,24221405,18710309.12,832974.0916,4678121.962,12.006,41.491,63.65299988,36.34700012,15417650.9,8803754.105,3,2010
Mauritania,MRT,478,Africa,Sub-Saharan Africa,3609543,2789382.635,274361.3574,545762.8975,8.521,36.191,44.67599869,55.32400131,1612599.383,1996943.617,4,2010
Mauritius,MUS,480,Africa,Sub-Saharan Africa,1250400,105896.3743,360590.3438,783925.7791,7.3,12,53.72800064,46.27199936,671814.92,578585.08,4,2010
Malawi,MWI,454,Africa,Sub-Saharan Africa,15167095,12853658.25,1332125.953,981159.3547,9.844,40.321,72.14700317,27.85299683,10942604.51,4224490.489,3,2010
Malaysia,MYS,458,Asia,South-eastern Asia,28112289,3996442.893,7796662.021,16319183.55,4.691,17.263,58.34899902,41.65100098,16403239.23,11709049.77,3,2010
Namibia,NAM,516,Africa,Sub-Saharan Africa,2173170,689133.9483,275297.1804,1208738.851,9.881,30.011,45.92200089,54.07799911,997963.1466,1175206.853,4,2010
New Caledonia,NCL,540,Oceania,Melanesia,249750,9892.597414,82554.86326,157302.5429,4.8,16.7,54.26800156,45.73199844,135534.3339,114215.6661,5,2010
Niger,NER,562,Africa,Sub-Saharan Africa,16425578,12770230.23,1179849.282,2475498.877,11.786,50.034,78.47299957,21.52700043,12889643.75,3535934.246,3,2010
Nigeria,NGA,566,Africa,Sub-Saharan Africa,158578261,48480546.75,22432480.66,87665236.62,14.306,41.344,52.81800079,47.18199921,83757867.15,74820393.85,2,2010
Nicaragua,NIC,558,Americas,Latin America and the Caribbean,5737723,1846800.918,945117.7396,2945804.343,4.795,22.163,59.35400009,40.64599991,3405568.115,2332154.885,4,2010
Netherlands,NLD,528,Europe,Western Europe,16615394,510591.05,2929626.265,13175176.37,8.2,11.1,61.81399918,38.18600082,10270639.51,6344754.49,3,2010
Norway,NOR,578,Europe,Northern Europe,4889252,124578.1457,962987.0321,3801686.624,8.5,12.6,63.38700104,36.61299896,3099150.216,1790101.784,4,2010
Nepal,NPL,524,Asia,Southern Asia,27023137,20221683.99,2019168.83,4782554.774,6.67,22.83,81.39700317,18.60299683,21996023.68,5027113.318,3,2010
New Zealand,NZL,554,Oceania,Australia and New Zealand,4350700,298936.5889,911993.7294,3139813.144,6.53,14.68,63.07899857,36.92100143,2744377.991,1606322.009,4,2010
Oman,OMN,512,Asia,Western Asia,3041460,156878.5066,1121690.48,1762891.1,2.799,21.978,59.40299988,40.59700012,1806718.48,1234741.52,4,2010
Pakistan,PAK,586,Asia,Southern Asia,170560182,74004357.26,36530578.53,60023541.54,7.767,30.175,51.22800064,48.77199936,87374571.13,83185610.87,2,2010
Panama,PAN,591,Americas,Latin America and the Caribbean,3643222,634685.6874,681428.2601,2327108.053,4.909,21.102,61.56100082,38.43899918,2242803.925,1400418.075,4,2010
Peru,PER,604,Americas,Latin America and the Caribbean,29373646,8145311.901,4950927.899,16277406.2,5.577,20.876,76.3259964,23.6740036,22419727.99,6953918.012,3,2010
Philippines,PHL,608,Asia,South-eastern Asia,93726624,31100367.63,14040247.85,48586008.52,6.174,24.845,60.10300064,39.89699936,56332513.42,37394110.58,3,2010
Papua New Guinea,PNG,598,Oceania,Melanesia,7108239,1830158.277,535676.875,4742475.061,7.272,29.942,70.19400024,29.80599976,4989557.301,2118681.699,4,2010
Poland,POL,616,Europe,Eastern Europe,38042794,4966106.291,11528107.67,21548580.4,9.9,10.9,50.52799988,49.47200012,19222262.91,18820531.09,3,2010
Puerto Rico,PRI,630,Americas,Latin America and the Caribbean,3721525,58093.00486,512602.8597,3150829.175,7.833,11.3,37.40000153,62.59999847,1391850.407,2329674.593,4,2010
Korea (Democratic People's Republic of),PRK,408,Asia,Eastern Asia,24591599,16432106.38,4279675.944,3879816.679,8.777,14.299,77.16000366,22.83999634,18974878.69,5616720.311,3,2010
Portugal,PRT,620,Europe,Southern Europe,10573100,1183975.733,2881698.316,6507320.278,10,9.6,54.47299957,45.52700043,5759484.718,4813615.282,3,2010
Paraguay,PRY,600,Americas,Latin America and the Caribbean,6209877,1591032.604,1191985.871,3426858.406,5.581,22.422,65.83000183,34.16999817,4087962.143,2121914.857,4,2010
Palestine,PSE,275,Asia,Western Asia,3811102,485839.2885,980215.4082,2345047.34,3.601,33.446,31.17200089,68.82799911,1187996.749,2623105.251,4,2010
French Polynesia,PYF,258,Oceania,Polynesia,267820,24607.30086,48743.24204,194469.4571,4.957,16.653,46.08399963,53.91600037,123422.1678,144397.8322,5,2010
Qatar,QAT,634,Asia,Western Asia,1779676,26766.32612,1017316.16,735593.4843,1.534,11.486,86.27500153,13.72499847,1535415.496,244260.5038,4,2010
Romania,ROU,642,Europe,Eastern Europe,20246871,6278757.101,5732901.632,8235009.91,12.8,10.5,51.13999939,48.86000061,10354249.71,9892621.294,3,2010
Russian Federation,RUS,643,Europe,Eastern Europe,142849449,11066547.12,39632150.39,92150754.89,14.2,12.5,58.35800171,41.64199829,83364083.89,59485365.11,2,2010
Rwanda,RWA,646,Africa,Sub-Saharan Africa,10246842,8159662.415,568084.9357,1519094.307,7.654,35.314,84.23200226,15.76799774,8631120.185,1615721.815,3,2010
Saudi Arabia,SAU,682,Asia,Western Asia,27425676,1174915.938,5859495.615,20390989.69,3.572,22.018,48.23500061,51.76499939,13228774.99,14196901.01,3,2010
Sudan,SDN,729,Africa,Northern Africa,34385963,16928896.77,7773291.105,9683775.126,8.205,35.47,41.39599991,58.60400009,14234413.21,20151549.79,3,2010
Senegal,SEN,686,Africa,Sub-Saharan Africa,12916229,6887837.395,2538038.949,3490352.655,7.321,38.243,49.75299835,50.24700165,6426211.202,6490017.798,3,2010
Singapore,SGP,702,Asia,South-eastern Asia,5076732,6396.682423,1542615.769,3527719.479,4.4,9.3,64.80200195,35.19799805,3289823.97,1786908.03,4,2010
Solomon Islands,SLB,090,Oceania,Melanesia,527790,366766.5347,47986.66684,113036.7833,5.477,32.47,70.91000366,29.08999634,374255.9083,153534.0917,5,2010
Sierra Leone,SLE,694,Africa,Sub-Saharan Africa,6458720,4115754.67,416199.9018,1926765.398,15.45,39.563,58.56700134,41.43299866,3782678.629,2676041.371,4,2010
El Salvador,SLV,222,Americas,Latin America and the Caribbean,6164626,1280885.983,1316147.675,3567592.46,6.584,19.62,58.30799866,41.69200134,3594470.045,2570155.955,4,2010
Serbia,SRB,688,Europe,Southern Europe,7291436,1651145.716,1627229.731,4013060.414,14.2,9.4,41.09700012,58.90299988,2996561.462,4294874.538,4,2010
South Sudan,SSD,728,Africa,Sub-Saharan Africa,10067192,5443934.767,1997129.483,2626127.75,12.76,38.336,64.32700348,35.67299652,6475922.948,3591269.052,3,2010
Sao Tome and Principe,STP,678,Africa,Sub-Saharan Africa,174776,41759.22907,28077.76533,104939.0056,7.359,36.671,49.10300064,50.89699936,85820.2604,88955.7396,5,2010
Suriname,SUR,740,Americas,Latin America and the Caribbean,526103,22275.2021,120940.5622,382887.2407,7.111,19.613,49.11800003,50.88199997,258411.2717,267691.7283,5,2010
Slovak Republic,SVK,703,Europe,Eastern Europe,5391428,174358.7798,2001082.477,3215986.884,9.9,11.2,50.33300018,49.66699982,2713667.465,2677760.535,4,2010
Slovenia,SVN,705,Europe,Southern Europe,2048583,180644.0457,667448.8535,1200490.159,9.1,10.9,54.94400024,45.05599976,1125573.449,923009.5515,4,2010
Sweden,SWE,752,Europe,Northern Europe,9378126,197034.4339,1864652.738,7316438.671,9.6,12.3,57.69100189,42.30899811,5410334.848,3967791.152,4,2010
Eswatini,SWZ,748,Africa,Sub-Saharan Africa,1202843,821926.6876,164597.0363,216319.2761,12.588,31.305,37.99000168,62.00999832,456960.0759,745882.9241,4,2010
Syrian Arab Republic,SYR,760,Asia,Western Asia,21018834,3187506.168,7204205.674,10627332.83,4.457,25.963,39.34999847,60.65000153,8270910.858,12747923.14,3,2010
Chad,TCD,148,Africa,Sub-Saharan Africa,11887202,10315357.33,723573.973,848151.8899,15.131,46.68,67.77999878,32.22000122,8057145.37,3830056.63,3,2010
Togo,TGO,768,Africa,Sub-Saharan Africa,6502952,2494272.204,1188544.565,2820135.232,10.165,37.201,77.17199707,22.82800293,5018457.927,1484494.073,4,2010
Thailand,THA,764,Asia,South-eastern Asia,67208808,25703336.18,13874585.72,27630213.1,7.284,11.806,71.9240036,28.0759964,48339265.49,18869542.51,3,2010
Tajikistan,TJK,762,Asia,Central Asia,7641630,4059615.938,1182542.272,2399471.791,5.485,30.079,52.1570015,47.8429985,3985645.073,3655984.927,4,2010
Turkmenistan,TKM,795,Asia,Central Asia,5087210,642870.732,2292805.531,2151533.688,7.214,25.405,61.64199829,38.35800171,3135857.901,1951352.099,4,2010
Timor-Leste,TLS,626,Asia,South-eastern Asia,1109591,563938.5444,103203.0549,442449.4113,5.988,38.202,40.11100006,59.88899994,445068.0467,664522.9533,4,2010
Tonga,TON,776,Oceania,Polynesia,104137,32898.96005,31922.15528,39314.83989,6.147,27.084,59.24499893,40.75500107,61695.96454,42441.03546,5,2010
